Disks 	 Points	 Total Point 	 Pi 	 Error 	 Time
10 	 10 	 100 	 3.08 	 0.061592653589793045 	 0.00014799999999999883
50 	 10 	 500 	 3.2719999999999994 	 0.13040734641020624 	 0.0005839999999999977
100 	 10 	 1000 	 3.2359999999999984 	 0.09440734641020532 	 0.0011450000000000002
500 	 10 	 5000 	 3.1304000000000007 	 0.011192653589792378 	 0.0056819999999999996
1000 	 10 	 10000 	 3.1135999999999893 	 0.02799265358980385 	 0.011416999999999997
5000 	 10 	 50000 	 3.1333600000000685 	 0.008232653589724581 	 0.056838
10000 	 10 	 100000 	 3.140879999999956 	 0.0007126535898369646 	 0.11363799999999999
50000 	 10 	 500000 	 3.1408000000004463 	 0.0007926535893467701 	 0.567764
100000 	 10 	 1000000 	 3.1387600000003806 	 0.002832653589412537 	 1.138435
