Disks 	 Points	 Total Point 	 Pi 	 Error 	 Time
10 	 100 	 1000 	 3.132 	 0.009592653589792999 	 0.0010889999999999997
50 	 100 	 5000 	 3.1728000000000005 	 0.031207346410207393 	 0.005298000000000001
100 	 100 	 10000 	 3.1632000000000007 	 0.021607346410207562 	 0.010607000000000002
500 	 100 	 50000 	 3.143599999999999 	 0.0020073464102057237 	 0.052759
1000 	 100 	 100000 	 3.141119999999989 	 0.00047265358980430605 	 0.10562500000000001
5000 	 100 	 500000 	 3.1411680000000444 	 0.0004246535897487469 	 0.526435
10000 	 100 	 1000000 	 3.14431200000009 	 0.002719346410296808 	 1.053494
50000 	 100 	 5000000 	 3.141429600000052 	 0.00016305358974122441 	 5.271465
100000 	 100 	 10000000 	 3.141494399999917 	 9.825358987614052e-05 	 10.574302000000003
5000000 	 100 	 500000000 	 3.1416370639635836 	 4.4410373790437774e-05 	 527.372123
10000000 	 100 	 1000000000 	 3.141600787900882 	 8.134311088703328e-06 	 1059.2228479999999
